Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/18/18,Uber.com,UBER HELP.UBER.COMCA,7.12,debit,Rental Car & Taxi,Cash rewards credit card ,,
12/18/18,Amazon,AMZN Mktp US*M24ZP4AG0 Amzn.com/billWA,2.55,debit,Shopping,Cash rewards credit card ,,
12/18/18,Amazon,AMZN Pickup*M24RP3CK2 Amzn.com/billWA,28.38,debit,Shopping,Cash rewards credit card ,,
12/18/18,Wish.com,ORDER.WISH.COM 800-266-0172 CAAPPLE PAY ENDING IN,1.9,debit,Shopping,Discover it Card,,
12/18/18,Safeway,THE MARKET (SAFEWAY) SAN JOSE CAAPPLE PAY ENDING I,5.39,debit,Groceries,Discover it Card,,
12/18/18,CVS,CVS/PHARMACY #02294 SAN JOSE CAAPPLE PAY ENDING IN,17.24,debit,Pharmacy,Discover it Card,,
12/17/18,Internet Thank You,INTERNET PAYMENT - THANK YOU,112.88,credit,Credit Card Payment,Discover it Card,,
12/17/18,Cashback Bonus Redemption,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,3.39,credit,Bonus,Discover it Card,,
12/17/18,Chipotle,DOORDASH*CHIPOTLE 650-681-9470 CA,18.32,debit,Fast Food,Discover it Card,,
12/17/18,CVS,CVS/PHARMACY #09700 SUNNYVALE CAAPPLE PAY ENDING I,19.57,debit,Pharmacy,Discover it Card,,
12/17/18,Transfer to Bank of America Travel Rewards Visa Signature ,Online Banking payment to CRD 7987 Confirmation# 1608833139,375.21,debit,Credit Card Payment,ABCXYZ,,
12/17/18,Geico,GEICO DES:PREM COLL ID:4ADX3TVB1K2OE E INDN:ABCXYZ DOE CO ID:XXXXX75853...,96.67,debit,Auto Insurance,ABCXYZ,,
12/17/18,Best Buy,BEST BUY DES:AUTO PYMT ID:XXXXX4473540572 INDN:ABCXYZ...,75,debit,Electronics & Software,ABCXYZ,,
12/17/18,Online Banking Confirmation,Online Banking payment to CRD 2057 Confirmation# 4008830102,131,debit,Credit Card Payment,ABCXYZ,,
12/17/18,Transfer to Cash rewards credit card ,Online Banking payment to CRD 0028 Confirmation# 4008827554,272.99,debit,Credit Card Payment,ABCXYZ,,
12/17/18,Transfer from ABCXYZ,Online payment from CHK 1,375.21,credit,Credit Card Payment,Bank of America Travel Rewards Visa Signature ,,
12/17/18,Amazon,Amazon.com*M26NL2370 Amzn.com/billWA,16.63,debit,Shopping,Cash rewards credit card ,,
12/17/18,Audible.com,Audible US 888-283-5051 NJ,14.95,debit,Books,Cash rewards credit card ,,
12/17/18,Amazon,AMZN Mktp US*M02NP7Y82 Amzn.com/billWA,32.76,debit,Shopping,Cash rewards credit card ,,
12/17/18,Transfer from ABCXYZ,Online payment from CHK 1,272.99,credit,Credit Card Payment,Cash rewards credit card ,,
12/17/18,Rangoli,RANGOLI SANTA CLARA CA,46,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus ,,
12/17/18,Chk,Online payment from CHK 1,131,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus ,,
12/16/18,Wish.com,ORDER.WISH.COM 800-266-0172 CAAPPLE PAY ENDING IN,5.7,debit,Shopping,Discover it Card,,
12/16/18,Wish.com,ORDER.WISH.COM 800-266-0172 CAAPPLE PAY ENDING IN,3,debit,Shopping,Discover it Card,,
12/16/18,Papa John's,DOORDASH*PAPA JOHNS PI 650-681-9470 CA,36.29,debit,Fast Food,Discover it Card,,
12/15/18,Target,TARGET 00020883 SAN JOSE CA,267.01,debit,Shopping,Cash rewards credit card ,,
12/15/18,Safeway,SAFEWAY #2934 SAN JOSE CA,5.98,debit,Groceries,Cash rewards credit card ,,
12/14/18,Doordash Paradise Biry,DOORDASH*PARADISE BIRY 650-681-9470 CA,34.65,debit,Restaurants,Discover it Card,,
12/14/18,Beauty You Hkg,BEAUTY & YOU HKG HONG KONG,153.06,debit,Hair,Bank of America Travel Rewards Visa Signature ,,
12/14/18,On The Border,ON THE BORDER #519 MILPITAS CA,131,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus ,,
12/13/18,Disney,HK DISNEYLAND 00729HONG KONG,17.66,debit,Travel,Bank of America Travel Rewards Visa Signature ,,
12/13/18,O Learys Hong,O'LEARYS -2 01600HONG KONG,34.61,debit,Restaurants,Bank of America Travel Rewards Visa Signature ,,
12/13/18,Booster Fuels Ca,BOOSTER FUELS 888-552-4615 CA,53.06,debit,Gas & Fuel,Discover it Card,,
12/11/18,Transfer to Bank of America Travel Rewards Visa Signature ,Online Banking payment to CRD 7987 Confirmation# 1651383860,196.88,debit,Credit Card Payment,ABCXYZ,,
12/11/18,Xoom,Xoom.com DES:DEBIT O ID:XXXXX0074440913 INDN:DOE ABCXYZ CO ID:XXXXX01054...,2000,debit,Transfer,ABCXYZ,,
12/11/18,Pacific Gas & Electric,PGANDE DES:WEB ONLINE ID:XXXXX294121018 INDN:ABCXYZ DOE CO ID:XXXXX42640...,81.74,debit,Utilities,ABCXYZ,,
12/11/18,Transfer from ABCXYZ,Online payment from CHK 1,196.88,credit,Credit Card Payment,Bank of America Travel Rewards Visa Signature ,,
12/11/18,Lawrence,LAWRENCE AND MAYO OPTI VIJAYAWADA,120.72,debit,Business Services,Bank of America Travel Rewards Visa Signature ,,
12/10/18,Zelle Transfer Conf,"Zelle Transfer Conf# b61312133; Jane Doe",2500,credit,Transfer,ABCXYZ,,
12/10/18,Life Style Internation,LIFE STYLE INTERNATION VIJAYAWADA,49.16,debit,Charity,Bank of America Travel Rewards Visa Signature ,,
12/7/18,Barbeque Nation Vijayw,BARBEQUE NATION (82305 VIJAYWADA,23.14,debit,Restaurants,Bank of America Travel Rewards Visa Signature ,,
12/5/18,State Farm,STATE FARM INSURANCE 800-956-6310 IL,13.58,debit,Auto Insurance,Discover it Card,,
12/3/18,Amazon web services,AMAZON WEB SERVICES AWS.AMAZON.COWA1COHD2DNGX5,6.99,debit,Electronics & Software,Discover it Card,,
12/3/18,Transfer to 365 Donation Saving,Automatic Transfer to SAV 4336 Confirmation# 1314937794,31,debit,Transfer,ABCXYZ,,
12/3/18,American Express,AMERICAN EXPRESS DES:ACH PMT ID:M7148 INDN:ABCXYZ DOE CO ID:XXXXX33497 WEB,87.69,debit,Credit Card Payment,ABCXYZ,,
12/3/18,Transfer to home savings,Automatic Transfer to SAV 1996 Confirmation# 1314937793,27,debit,Transfer,ABCXYZ,,
12/3/18,Discover,DISCOVER DES:E-PAYMENT ID:0393 INDN:DOE ABCXYZ CO ID:XXXXX20270 WEB,158.05,debit,Credit Card Payment,ABCXYZ,,
12/3/18,Transfer from ABCXYZ,Automatic Transfer from CHK 1323 Confirmation# 1314937793,27,credit,Transfer,home savings,,
12/3/18,Ls Intl Pvt,LS INTL PVT LTD_VIJAYWA VIJAYAWADA,73.84,debit,Vacation,Bank of America Travel Rewards Visa Signature ,,
12/3/18,Ls Intl Pvt,LS INTL PVT LTD_VIJAYWA VIJAYAWADA,66.11,debit,Vacation,Bank of America Travel Rewards Visa Signature ,,
12/1/18,Chethan Vijayawada,CHETHAN ENTERPRISES VIJAYAWADA,33.79,debit,Gas & Fuel,Bank of America Travel Rewards Visa Signature ,,
